cliente_id,contrato_id,edad,provincia,antiguedad_meses,cuota_mensual,canal,producto,ingresos_mensuales,incidencias_12m,satisfaccion,fecha_alta,abandono
CLI-007515,CTR-007515,18,Madrid,17,105.87,Teléfono,Empresa,1046.07,7,7,2025-04-17,Sí
CLI-000135,CTR-000135,18,Valencia,7,77.93,web,Premium,1647.73,5,7,2026-02-11,Sí
CLI-008967,CTR-008967,18,Zaragoza,18,47.08,Web,Estándar,1430.21,4,8,2025-03-26,Sí
CLI-008841,CTR-008841,46,Sevilla,32,33.74,Tienda,Estándar,,1,6,2024-01-08,No
CLI-008161,CTR-008161,43,Barcelona,49,46.19,Tienda,Básico,2539.97,0,6,2022-08-25,No
CLI-007197,CTR-007197,43,Alicante,34,53.19,Tienda,Premium,1516.12,3,,2023-11-11,Sí
CLI-005468,CTR-005468,18,Madrid,18,71.92,Teléfono,Básico,1537.07,4,2,2025-03-11,Sí
CLI-002559,CTR-002559,39,Madrid,47,85.11,web,Premium,4689.86,3,8,2022-10-25,No
CLI-006012,CTR-006012,32,Alicante,31,103.01,Tienda,Estándar,934.07,3,3,2024-02-16,Sí
CLI-005812,CTR-005812,51,Madrid,54,9.9,Tienda,Básico,,1,8,2022-03-16,No
CLI-006309,CTR-006309,45,Alicante,83,58.09,Teléfono,Estándar,1857.22,1,5,2019-10-22,No
CLI-000581,CTR-000581,23,Málaga,30,48.99,Web,Básico,2564.88,3,8,2024-03-19,Sí
CLI-008520,CTR-008520,27,Madrid,81,79.22,Teléfono,Premium,3800.04,4,,2019-12-18,No
CLI-008686,CTR-008686,23,Alicante,21,76.57,Teléfono,Premium,1718.75,4,4,2024-12-09,Sí
CLI-001499,CTR-001499,32,Málaga,46,75.1,Web,Básico,2540.39,3,4,2022-11-23,Sí
CLI-001269,CTR-001269,20,Málaga,9,47.01,Web,Premium,2125.27,0,7,2025-12-27,No
CLI-006778,CTR-006778,34,Barcelona,14,85.37,web,Básico,,6,,2025-07-27,Sí
CLI-001115,CTR-001115,34,Barcelona,30,72.37,Web,Empresa,,4,,2024-03-26,No
CLI-006358,CTR-006358,61,Madrid,21,16.37,Web,Empresa,2396.93,0,6,2024-12-27,No
CLI-002063,CTR-002063,50,Alicante,77,81.82,Web,Básico,3125.89,0,,2020-04-13,No
CLI-001780,CTR-001780,23,Madrid,61,146.86,Web,Básico,4802.67,1,,2021-08-12,No
CLI-001855,CTR-001855,70,Valencia,33,35.7,Web,Estándar,,1,,2023-12-17,No
CLI-001142,CTR-001142,40,Sevilla,11,55.54,Tienda,Premium,2991.63,3,,2025-10-01,No
CLI-001298,CTR-001298,58,Barcelona,5,94.27,Tienda,Premium,2904.25,4,,2026-04-12,Sí
CLI-005472,CTR-005472,57,Madrid,85,26.2,Web,Básico,3684.63,0,8,2019-08-27,No
CLI-005295,CTR-005295,51,Málaga,61,61.37,Web,Estándar,2571.28,4,,2021-08-11,No
CLI-001353,CTR-001353,45,Madrid,13,61.99,Aplicación,Básico,2526.83,1,6,2025-08-16,Sí
CLI-002202,CTR-002202,56,Sevilla,73,40.55,Aplicación,Estándar,1225.33,1,10,2020-08-06,No
CLI-007169,CTR-007169,18,Barcelona,23,55.01,Tienda,Básico,,5,,2024-10-12,Sí
CLI-008269,CTR-008269,23,Alicante,47,94.12,Tienda,Premium,,3,3,2022-10-17,Sí
CLI-009066,CTR-009066,54,Barcelona,40,58.57,Teléfono,Básico,1416.51,1,,2023-05-28,No
CLI-006391,CTR-006391,42,Madrid,40,59.36,Tienda,Estándar,750,7,6,2023-05-07,Sí
CLI-007712,CTR-007712,48,Murcia,33,64.51,Tienda,Premium,1267.73,2,7,2023-12-14,No
CLI-007906,CTR-007906,54,Zaragoza,26,75.11,Tienda,Premium,,0,8,2024-07-11,No
CLI-006123,CTR-006123,28,Valencia,4,71.74,Aplicación,Básico,2958.47,6,5,2026-05-21,Sí
CLI-000986,CTR-000986,44,Málaga,36,47.58,Web,Estándar,,6,5,2023-09-08,Sí
CLI-004106,CTR-004106,46,Madrid,28,93.32,Tienda,Básico,,4,2,2024-05-09,Sí
CLI-006302,CTR-006302,40,Alicante,26,64.15,,Básico,,5,4,2024-07-28,Sí
CLI-008956,CTR-008956,55,Madrid,37,26.82,Tienda,Premium,3390.58,2,,2023-08-01,No
CLI-002879,CTR-002879,31,Málaga,29,59.01,Teléfono,Estándar,,6,8,2024-04-18,Sí
CLI-008721,CTR-008721,34,Barcelona,12,54.34,Teléfono,Básico,2266.74,5,8,2025-09-23,Sí
CLI-009517,CTR-009517,35,Barcelona,24,49.05,Tienda,Estándar,2520.28,3,5,2024-09-20,Sí
CLI-009768,CTR-009768,30,Málaga,54,74.75,Teléfono,Básico,,4,8,2022-03-18,No
CLI-007446,CTR-007446,57,Valencia,89,48.21,Teléfono,Estándar,2375.06,2,8,2019-04-15,No
CLI-007030,CTR-007030,29,Valencia,2,42.66,Web,Estándar,,2,4,2026-07-27,Sí
CLI-006779,CTR-006779,54,Murcia,46,39.39,Aplicación,Básico,2517.14,4,,2022-11-25,Sí
CLI-004009,CTR-004009,33,Madrid,32,68.17,Tienda,Básico,1797.97,2,4,2024-01-03,Sí
CLI-003200,CTR-003200,53,Madrid,1,65.85,Teléfono,Estándar,1788.84,5,2,2026-08-02,Sí
CLI-004365,CTR-004365,60,Madrid,83,25.1,Aplicación,Estándar,1872.5,0,,2019-10-21,No
CLI-009262,CTR-009262,52,Barcelona,48,62.17,Web,Premium,2253.54,4,,2022-09-18,Sí
CLI-004917,CTR-004917,124,Murcia,31,63.99,Web,Empresa,3736.06,3,4,2024-02-26,No
CLI-001576,CTR-001576,44,Barcelona,19,75.23,Teléfono,Básico,3017.89,0,,2025-02-19,Sí
CLI-002699,CTR-002699,31,Sevilla,31,69.07,Web,Estándar,2979.18,4,,2024-02-16,Sí
CLI-007786,CTR-007786,23,Barcelona,35,72.64,Web,Estándar,3249.04,5,7,2023-10-03,Sí
CLI-005766,CTR-005766,31,Málaga,32,29.44,Web,Premium,3106.14,1,,2024-01-21,No
CLI-008151,CTR-008151,30,Sevilla,16,104.78,Teléfono,Premium,1523.76,3,7,2025-05-12,Sí
CLI-004751,CTR-004751,22,Sevilla,51,69,web,Premium,1711.25,1,9,2022-06-24,No
CLI-009837,CTR-009837,40,Murcia,26,35.01,Web,Premium,3171.94,4,,2024-07-27,Sí
CLI-007865,CTR-007865,41,Madrid,74,64.74,Tienda,Premium,4624.56,2,8,2020-07-16,No
CLI-008942,CTR-008942,28,Murcia,14,51.43,Tienda,Estándar,2557.34,4,,2025-07-14,No
CLI-002632,CTR-002632,38,Barcelona,19,84.56,Aplicación,Básico,2325.06,3,,2025-02-25,Sí
CLI-006621,CTR-006621,48,Madrid,19,76.35,Web,Estándar,2458.54,4,,2025-02-22,Sí
CLI-004642,CTR-004642,34,Madrid,9,33.59,WEB,Premium,2941.82,0,6,2025-12-17,No
CLI-004957,CTR-004957,26,Zaragoza,7,67.91,Web,Estándar,1675.19,3,,2026-02-22,Sí
CLI-003265,CTR-003265,35,Sevilla,43,61.65,,Básico,2708.78,7,,2023-02-24,Sí
CLI-000346,CTR-000346,51,Barcelona,25,73.07,Teléfono,Estándar,3368.92,5,10,2024-08-03,No
CLI-002799,CTR-002799,49,Zaragoza,48,98.58,Tienda,Básico,,4,5,2022-09-03,Sí
CLI-009522,CTR-009522,46,Zaragoza,46,74.12,Tienda,Básico,2749.39,7,4,2022-11-04,Sí
CLI-004961,CTR-004961,36,Zaragoza,9,123.32,Web,Estándar,2276.52,5,7,2025-12-26,Sí
CLI-009588,CTR-009588,41,Madrid,19,39.84,Aplicación,Premium,1586.67,3,8,2025-02-09,No
CLI-006649,CTR-006649,31,Málaga,36,65.53,Teléfono,Premium,,2,4,2023-09-10,No
CLI-000739,CTR-000739,50,Barcelona,14,90.67,Tienda,Premium,2187.14,4,7,2025-07-04,Sí
CLI-001948,CTR-001948,46,Málaga,31,60.96,Tienda,Estándar,2106.13,0,,2024-02-11,No
CLI-009729,CTR-009729,25,Zaragoza,13,86.01,Teléfono,Premium,1358.39,5,6,2025-08-21,Sí
CLI-008203,CTR-008203,45,Sevilla,54,45.99,Aplicación,Básico,2250.63,1,8,2022-03-06,No
CLI-002034,CTR-002034,36,Barcelona,59,24.24,Teléfono,Premium,1473.63,1,10,2021-10-06,No
CLI-002165,CTR-002165,52,Madrid,56,98.62,Aplicación,Premium,,2,7,2022-01-20,No
CLI-003933,CTR-003933,41,Zaragoza,43,48.34,Teléfono,Básico,3944.31,3,5,2023-02-10,No
CLI-001973,CTR-001973,41,Valencia,30,76.49,Web,Estándar,2586.64,7,,2024-03-13,Sí
CLI-008783,CTR-008783,34,Zaragoza,21,63.3,Teléfono,Premium,3687.23,8,6,2024-12-24,Sí
CLI-005996,CTR-005996,46,Valencia,6,60.48,Tienda,Básico,,1,,2026-03-22,No
CLI-006690,CTR-006690,60,Zaragoza,25,25.01,Web,Básico,2298.85,0,5,2024-08-13,No
CLI-005652,CTR-005652,52,Murcia,46,70.42,Web,Estándar,3694.12,2,9,2022-11-25,No
CLI-007492,CTR-007492,32,Sevilla,89,22.73,Aplicación,Básico,990.09,0,9,2019-04-20,No
CLI-007008,CTR-007008,33,Sevilla,26,36.54,Teléfono,Premium,1931.61,4,,2024-07-19,Sí
CLI-004592,CTR-004592,33,Valencia,44,87.42,Tienda,Empresa,996.42,4,3,2023-01-09,Sí
CLI-002751,CTR-002751,57,Sevilla,62,57.95,Tienda,Estándar,,4,10,2021-07-24,No
CLI-009194,CTR-009194,41,Málaga,4,64.26,Teléfono,Empresa,2100.64,3,,2026-05-18,Sí
CLI-003523,CTR-003523,50,Málaga,91,63.51,Aplicación,Premium,2286.67,1,7,2019-02-09,No
CLI-009148,CTR-009148,37,Sevilla,18,41.56,Web,Premium,2588.94,6,5,2025-03-18,Sí
CLI-003355,CTR-003355,48,Valencia,10,116.24,Tienda,Estándar,3093.58,4,,2025-11-23,Sí
CLI-003817,CTR-003817,18,Madrid,12,113.68,Web,Estándar,3371.75,2,6,2025-09-16,Sí
CLI-001016,CTR-001016,43,Madrid,30,56.3,Tienda,Premium,2217.25,3,8,2024-03-05,No
CLI-004757,CTR-004757,49,Madrid,88,62.97,Web,Básico,3485.35,3,8,2019-05-15,No
CLI-001862,CTR-001862,64,Zaragoza,28,62.74,Tienda,Premium,4270.95,3,,2024-05-14,Sí
CLI-007734,CTR-007734,43,Barcelona,27,100.68,Tienda,Premium,,4,,2024-06-03,Sí
CLI-000056,CTR-000056,45,Valencia,46,28.49,Web,Básico,2448.69,4,7,2022-11-07,Sí
CLI-005570,CTR-005570,39,Madrid,84,70.9,Tienda,Premium,1933.87,0,5,2019-09-27,No
CLI-009035,CTR-009035,23,Madrid,90,49.46,Web,Estándar,2000.23,1,7,2019-03-17,No
CLI-004882,CTR-004882,33,Barcelona,14,84.9,Web,Básico,967.53,3,5,2025-07-25,Sí
CLI-005288,CTR-005288,37,Madrid,83,46.98,Aplicación,Estándar,3701.12,2,6,2019-10-10,No
CLI-006094,CTR-006094,41,Madrid,56,88.58,Web,Premium,3392.18,1,,2022-01-16,No
CLI-009305,CTR-009305,41,Madrid,93,50.82,Aplicación,Empresa,,0,,2018-12-25,No
CLI-001958,CTR-001958,27,Barcelona,1,52.86,Aplicación,Estándar,,7,5,2026-08-14,Sí
CLI-003760,CTR-003760,37,Barcelona,69,85.03,Tienda,Premium,3348.78,3,,2020-12-06,No
CLI-006651,CTR-006651,39,Madrid,14,54.2,Aplicación,Básico,1227.87,2,5,2025-07-10,No
CLI-003684,CTR-003684,18,Zaragoza,36,47.59,WEB,Básico,2074.03,2,8,2023-09-17,No
CLI-009832,CTR-009832,31,Barcelona,79,71.66,web,Premium,3339.31,3,6,2020-02-25,No
CLI-001944,CTR-001944,44,Madrid,32,47.91,Tienda,Estándar,,0,,2024-01-28,No
CLI-009113,CTR-009113,34,Murcia,13,34.27,Web,Empresa,2130.42,3,8,2025-08-24,No
CLI-002696,CTR-002696,47,Barcelona,51,36.85,Tienda,Básico,2479.88,2,,2022-06-28,No
CLI-009468,CTR-009468,23,Madrid,15,85.76,Tienda,Básico,2246.15,5,7,2025-06-14,Sí
CLI-003382,CTR-003382,39,Valencia,64,26.97,Tienda,Básico,4183.12,2,,2021-05-15,No
CLI-002986,CTR-002986,49,Madrid,18,49.93,Teléfono,Premium,,3,,2025-03-21,No
CLI-009664,CTR-009664,72,Alicante,49,53.66,Web,Estándar,2304.3,3,,2022-08-21,No
CLI-006042,CTR-006042,42,Valencia,40,33.21,Web,Básico,3014.89,4,9,2023-05-08,No
CLI-004530,CTR-004530,65,Madrid,38,91.79,Tienda,Básico,2082.53,2,,2023-07-20,Sí
CLI-003270,CTR-003270,52,Madrid,17,70.98,Web,Básico,1345.68,6,,2025-04-13,Sí
CLI-001616,CTR-001616,64,Zaragoza,23,45.44,Teléfono,Básico,3157.75,4,8,2024-10-13,No
CLI-001772,CTR-001772,55,Madrid,7,63.63,Web,Estándar,2470.88,6,3,2026-02-17,Sí
CLI-003312,CTR-003312,43,Málaga,86,49.79,Tienda,Estándar,1120.04,4,,2019-07-22,No
CLI-007991,CTR-007991,30,Madrid,59,74.47,Teléfono,Estándar,3624.48,1,7,2021-10-18,No
CLI-001064,CTR-001064,35,Valencia,23,56.81,Tienda,Básico,1735.66,2,5,2024-10-23,Sí
CLI-002349,CTR-002349,49,Madrid,8,88.39,web,Estándar,1936.51,4,5,2026-01-26,Sí
CLI-000044,CTR-009894,30,Madrid,16,80.37,Web,Empresa,1983.93,3,7,2025-05-26,Sí
CLI-001172,CTR-001172,39,Barcelona,33,71.25,Tienda,Premium,750,2,10,2023-12-10,No
CLI-009605,CTR-009605,59,Madrid,11,45.8,Aplicación,Estándar,,4,3,2025-10-01,Sí
CLI-009725,CTR-009725,29,Valencia,33,66.21,Teléfono,Estándar,2914.23,5,,2023-12-09,Sí
CLI-008571,CTR-008571,46,Sevilla,88,59.73,Web,Estándar,4284.42,1,9,2019-05-12,No
CLI-003475,CTR-003475,37,Zaragoza,6,76.75,Tienda,Estándar,2145.79,4,,2026-03-07,Sí
CLI-001504,CTR-001504,40,Valencia,56,81.68,Web,Estándar,,2,,2022-01-19,No
CLI-007116,CTR-007116,47,Madrid,47,108.79,WEB,Estándar,3857.7,1,6,2022-10-18,No
CLI-006346,CTR-006346,39,Alicante,22,73.76,Web,Estándar,2655.97,3,6,2024-11-08,Sí
CLI-008576,CTR-008576,38,Murcia,16,82.49,Web,Estándar,,2,10,2025-05-11,No
CLI-002479,CTR-002479,39,Valencia,58,39.44,Tienda,Empresa,1848.88,1,6,2021-11-15,No
CLI-005236,CTR-005236,34,Sevilla,31,67.37,Web,Premium,1315.8,8,7,2024-02-25,Sí
CLI-009649,CTR-009649,35,Barcelona,10,32.3,Tienda,Estándar,3635.69,2,7,2025-11-18,No
CLI-007972,CTR-007972,18,Málaga,45,60.71,Teléfono,Estándar,2413.05,5,5,2022-12-09,Sí
CLI-002560,CTR-002560,41,Madrid,33,65.47,Web,Básico,3956.98,1,,2023-12-01,No
CLI-008961,CTR-008961,40,Madrid,10,11.67,Web,Estándar,2611.75,2,5,2025-11-10,No
CLI-008512,CTR-008512,29,Zaragoza,31,44.84,Teléfono,Estándar,3151.87,1,10,2024-02-28,No
CLI-005048,CTR-005048,56,Málaga,16,43.52,Teléfono,Básico,2769.34,0,8,2025-05-20,No
CLI-001756,CTR-001756,59,Madrid,13,76.18,Teléfono,Estándar,2624.85,2,7,2025-08-01,No
CLI-006160,CTR-006160,43,Málaga,16,91.08,Web,Básico,3732.37,1,7,2025-05-28,No
CLI-007714,CTR-007714,41,Málaga,11,54.07,Teléfono,Estándar,1337.19,5,5,2025-10-27,Sí
CLI-009822,CTR-009822,42,Valencia,47,53.1,Tienda,Premium,3095.97,3,4,2022-10-20,Sí
CLI-005200,CTR-005200,62,Barcelona,20,56.99,Teléfono,Empresa,3314.13,0,7,2025-01-18,No
CLI-007314,CTR-007314,34,Málaga,24,74.04,Web,Estándar,2493.27,0,9,2024-09-16,No
CLI-007127,CTR-007127,49,Alicante,76,86.97,Tienda,Premium,3355.14,2,8,2020-05-20,No
CLI-007832,CTR-007832,48,Alicante,58,41.44,Aplicación,Estándar,2981.96,1,7,2021-11-15,No
CLI-006982,CTR-006982,38,Barcelona,13,74.72,Aplicación,Estándar,1389.88,6,4,2025-08-15,Sí
CLI-005133,CTR-005133,38,Sevilla,14,92.39,Aplicación,Premium,2740.88,4,,2025-07-06,Sí
CLI-006766,CTR-006766,50,Alicante,24,67.88,Web,Estándar,823.89,4,4,2024-09-04,Sí
CLI-000116,CTR-000116,36,Madrid,11,62.54,Web,Estándar,2141.31,6,8,2025-10-03,Sí
CLI-001033,CTR-001033,45,Zaragoza,1,92.56,Teléfono,Estándar,2223.97,6,,2026-08-06,Sí
CLI-003863,CTR-003863,53,Madrid,11,52.47,Web,Premium,,1,,2025-10-03,Sí
CLI-007119,CTR-007119,64,Málaga,21,49.72,Tienda,Empresa,2194.75,4,,2024-12-20,No
CLI-002851,CTR-002851,18,Sevilla,31,59.42,Web,Básico,1718.07,7,,2024-02-18,Sí
CLI-000096,CTR-000096,37,Málaga,88,34.83,Tienda,Básico,,4,4,2019-05-23,No
CLI-009348,CTR-009348,22,Barcelona,47,58.21,Web,Básico,3261.98,3,9,2022-10-23,No
CLI-009411,CTR-009411,68,Barcelona,34,48.97,Aplicación,Premium,,5,,2023-11-22,Sí
CLI-005342,CTR-005342,44,Madrid,22,75.27,Tienda,Estándar,,0,,2024-11-14,No
CLI-003080,CTR-003080,59,Valencia,59,43.67,Teléfono,Estándar,2476.02,1,8,2021-10-09,No
CLI-006619,CTR-006619,26,Madrid,81,51.55,Tienda,Estándar,2870.15,5,,2019-12-28,No
CLI-001399,CTR-001399,36,Sevilla,17,76.59,Tienda,Premium,3569.71,3,,2025-04-05,Sí
CLI-003055,CTR-003055,35,Valencia,19,48.84,Web,Estándar,2715.29,4,3,2025-02-03,Sí
CLI-003647,CTR-003647,32,Alicante,23,69.13,Web,Básico,1964.14,0,8,2024-10-13,No
CLI-003886,CTR-003886,60,Barcelona,53,86.11,Tienda,Premium,1589.13,4,9,2022-04-03,No
CLI-001713,CTR-001713,26,Barcelona,30,73.45,Web,Básico,2062.93,5,5,2024-03-25,Sí
CLI-004645,CTR-004645,39,Valencia,41,76.71,Web,Estándar,750,6,,2023-04-08,Sí
CLI-003615,CTR-003615,30,Madrid,28,45.59,Tienda,Premium,1571.15,4,5,2024-05-19,Sí
CLI-004151,CTR-004151,58,Murcia,37,-30.57,Tienda,Estándar,1357.83,3,6,2023-08-04,Sí
CLI-003177,CTR-003177,61,Valencia,39,73.06,Teléfono,Estándar,2040.08,4,5,2023-06-24,Sí
CLI-007765,CTR-007765,55,Murcia,37,46.38,Web,Premium,1833.92,5,4,2023-08-16,Sí
CLI-000971,CTR-000971,43,Valencia,85,36.48,Web,Premium,,1,,2019-08-11,No
CLI-003343,CTR-003343,48,Madrid,95,9.9,Teléfono,Estándar,942.29,3,8,2018-10-25,No
CLI-007849,CTR-007849,30,Madrid,46,95.64,Web,Estándar,,3,,2022-11-07,Sí
CLI-000290,CTR-000290,18,Madrid,24,83.47,Web,Básico,,4,6,2024-09-10,Sí
CLI-003192,CTR-003192,46,Barcelona,16,57.63,Teléfono,Estándar,,4,7,2025-05-28,No
CLI-000582,CTR-000582,48,Madrid,76,65.83,Web,Empresa,,1,4,2020-05-02,No
CLI-008613,CTR-008613,31,Valencia,19,61.35,Web,Empresa,,3,7,2025-02-20,Sí
CLI-008835,CTR-008835,21,Barcelona,78,55.9,Web,Básico,2984.73,0,7,2020-03-17,No
CLI-006214,CTR-006214,57,Valencia,35,65.51,Teléfono,Estándar,,5,8,2023-10-06,No
CLI-004853,CTR-004853,48,Valencia,27,63.8,Tienda,Estándar,3017.58,3,5,2024-06-26,Sí
CLI-001246,CTR-001246,43,Barcelona,30,79.56,Web,Estándar,,2,,2024-03-07,Sí
CLI-003936,CTR-003936,39,Barcelona,69,55.08,Web,Básico,,4,9,2020-12-05,No
CLI-007382,CTR-007382,51,Barcelona,7,79.17,Aplicación,Básico,2506.2,4,5,2026-02-13,Sí
CLI-008413,CTR-008413,49,Alicante,34,74.61,Teléfono,Premium,2632.74,5,4,2023-11-06,Sí
CLI-007074,CTR-007074,41,Zaragoza,64,40.67,Aplicación,Estándar,,3,,2021-05-07,No
CLI-000449,CTR-000449,32,Barcelona,50,79.08,WEB,Básico,1403.76,2,,2022-07-25,No
CLI-001702,CTR-001702,18,Barcelona,20,89.62,web,Premium,3497.62,9,4,2025-01-02,Sí
CLI-004278,CTR-004278,27,Barcelona,73,33.01,Teléfono,Premium,2325.77,4,8,2020-08-07,No
CLI-003261,CTR-003261,39,Madrid,72,57.5,Teléfono,Básico,1720.47,2,8,2020-09-17,No
CLI-005923,CTR-005923,45,Madrid,13,84.96,Web,Estándar,1957.65,1,6,2025-08-14,No
CLI-007857,CTR-007857,46,Málaga,39,51.61,Tienda,Premium,1805.69,3,,2023-06-25,No
CLI-005382,CTR-005382,64,Zaragoza,33,24.47,Web,Premium,,1,8,2023-12-18,No
CLI-005946,CTR-005946,32,Murcia,67,55.91,Tienda,Estándar,2902.84,1,6,2021-02-12,No
CLI-000375,CTR-000375,44,Alicante,77,77.76,Teléfono,Premium,2985.16,2,9,2020-04-11,No
CLI-005875,CTR-005875,46,Sevilla,90,91.75,Web,Básico,3118.81,1,7,2019-03-18,No
CLI-005789,CTR-005789,46,Valencia,43,61.68,Aplicación,Básico,2944.47,0,5,2023-02-18,No
CLI-006842,CTR-006842,39,Málaga,17,9.9,Tienda,Estándar,,1,,2025-04-23,No
CLI-005655,CTR-005655,32,Barcelona,17,58.49,Web,Premium,1302.11,5,,2025-04-03,Sí
CLI-006298,CTR-006298,55,Málaga,47,79.66,Aplicación,Básico,3134.35,2,5,2022-10-22,Sí
CLI-004348,CTR-004348,32,Málaga,2,80.2,Aplicación,Estándar,1585.88,8,3,2026-07-19,Sí
CLI-004805,CTR-004805,40,Valencia,27,57.99,,Estándar,2280.76,2,,2024-06-20,No
CLI-009243,CTR-009243,62,Barcelona,48,47.2,Teléfono,Estándar,2846.27,3,6,2022-09-22,Sí
CLI-004913,CTR-004913,30,Valencia,29,79.63,Web,Estándar,1954.82,3,4,2024-04-17,Sí
CLI-006586,CTR-006586,39,Barcelona,23,83.66,Teléfono,Básico,3309.63,6,4,2024-10-03,Sí
CLI-001270,CTR-001270,34,Valencia,80,73.4,,Estándar,2521.34,2,8,2020-01-14,No
CLI-003227,CTR-003227,48,Valencia,42,59.53,Tienda,Básico,2643.37,3,8,2023-03-25,No
CLI-007506,CTR-007506,25,Barcelona,22,116.83,Aplicación,Premium,2482.85,2,4,2024-11-06,Sí
CLI-004512,CTR-004512,34,Alicante,77,75.64,Web,Básico,2722.23,0,8,2020-04-15,No
CLI-006149,CTR-006149,42,Madrid,23,73.37,Web,Estándar,4380.74,2,8,2024-10-01,No
CLI-000446,CTR-000446,51,Madrid,13,73.96,Aplicación,Estándar,2990.36,2,,2025-08-21,No
CLI-006229,CTR-006229,41,Sevilla,38,66.75,Web,Estándar,3197.5,7,8,2023-07-15,Sí
CLI-002613,CTR-002613,29,Alicante,71,62.14,Web,Estándar,3715.13,1,8,2020-10-09,No
CLI-009691,CTR-009691,45,Sevilla,29,81.43,Web,Estándar,4330.67,1,,2024-04-21,No
CLI-006228,CTR-006228,29,Zaragoza,33,55.1,Web,Premium,2699.55,6,6,2023-12-08,Sí
CLI-005167,CTR-005167,49,Barcelona,17,67.37,Teléfono,Básico,2689.24,1,6,2025-04-19,No
CLI-002535,CTR-002535,56,Málaga,75,53.15,Web,Estándar,3373.19,3,8,2020-06-21,No
CLI-000029,CTR-009879,44,Madrid,63,66.76,Web,Empresa,3483.43,0,7,2021-06-21,No
CLI-005044,CTR-005044,28,Zaragoza,24,93.77,web,Premium,,7,6,2024-09-24,Sí
CLI-009049,CTR-009049,40,Madrid,20,36.66,Tienda,Básico,1877.07,3,7,2025-01-28,Sí
CLI-006066,CTR-006066,44,Barcelona,23,317.94,Web,Estándar,9167.31,5,,2024-10-05,Sí
CLI-004816,CTR-004816,62,Valencia,83,75.63,Tienda,Básico,4043.25,0,6,2019-10-04,No
CLI-005751,CTR-005751,60,Barcelona,38,42.27,Teléfono,Estándar,2135.7,2,8,2023-07-12,Sí
CLI-002816,CTR-002816,29,Madrid,30,58.61,Web,Básico,2855.78,0,,2024-03-03,No
CLI-001718,CTR-001718,47,Valencia,22,90.16,web,Estándar,3128.22,5,2,2024-11-10,Sí
CLI-009514,CTR-009514,42,Madrid,79,60.38,Web,Básico,3046.23,2,,2020-02-18,No
CLI-004745,CTR-004745,32,Barcelona,33,51.99,Teléfono,Premium,2998.71,0,,2023-12-06,No
CLI-003201,CTR-003201,27,Barcelona,88,38.08,Tienda,Básico,4671.33,0,,2019-05-13,No
CLI-001987,CTR-001987,61,Madrid,21,42.07,Web,Premium,2467.63,0,7,2024-12-06,No
